id,url,createdTime,likesCount,commentsCount,sharesCount,authorId,authorName,type
163576114113950_173564283115133,https://www.facebook.com/163576114113950/posts/173564283115133,2016-12-04T20:13:43+0000,284,14,0,1259679700720689,Aaron Youn,photo
163576114113950_171123323359229,https://www.facebook.com/163576114113950/posts/171123323359229,2016-12-02T01:59:19+0000,87,38,1,111236982700195,Jugo Miro,photo
163576114113950_173399603131601,https://www.facebook.com/163576114113950/posts/173399603131601,2016-12-04T16:24:31+0000,84,2,0,1461285530567488,Roxana Sara,photo
163576114113950_173187823152779,https://www.facebook.com/163576114113950/posts/173187823152779,2016-12-04T11:27:06+0000,32,6,0,1095083790572291,Chris Quach,photo
163576114113950_173180123153549,https://www.facebook.com/163576114113950/posts/173180123153549,2016-12-04T11:15:51+0000,384,13,0,1044410075590883,Maha Rafi,photo
163576114113950_173561593115402,https://www.facebook.com/163576114113950/posts/173561593115402,2016-12-04T20:03:57+0000,10,0,0,10153258777204044,Arushi Tainwala,link
163576114113950_173091443162417,https://www.facebook.com/163576114113950/posts/173091443162417,2016-12-04T08:43:34+0000,155,29,0,1255332831150850,Jeffrey Wang,photo
163576114113950_173557746449120,https://www.facebook.com/163576114113950/posts/173557746449120,2016-12-04T19:57:20+0000,149,2,0,1041014742693137,Edward Yepiz,photo
163576114113950_172156953255866,https://www.facebook.com/163576114113950/posts/172156953255866,2016-12-03T05:36:06+0000,255,18,3,1057737464246858,Edgar Solórzano,photo
163576114113950_173401256464769,https://www.facebook.com/163576114113950/posts/173401256464769,2016-12-04T16:25:57+0000,376,27,4,10205680534629215,Kensey Ho,photo
163576114113950_173553093116252,https://www.facebook.com/163576114113950/posts/173553093116252,2016-12-04T19:50:52+0000,1,0,0,848573891937003,Benjamin Statz,link
163576114113950_173547413116820,https://www.facebook.com/163576114113950/posts/173547413116820,2016-12-04T19:36:41+0000,28,7,0,859999117404833,Matthew Lin,photo
163576114113950_173076429830585,https://www.facebook.com/163576114113950/posts/173076429830585,2016-12-04T08:13:29+0000,858,203,11,990327694321306,Sarika Bharil,photo
163576114113950_172963009841927,https://www.facebook.com/163576114113950/posts/172963009841927,2016-12-04T04:21:05+0000,594,36,0,1325246697527948,Marisa Ling,photo
163576114113950_173085529829675,https://www.facebook.com/163576114113950/posts/173085529829675,2016-12-04T08:37:39+0000,299,31,0,1843521312549690,Raheem Louis,photo
